;Unnamed: 0;nb_salaires_cleaned;age_cleaned;anciennete_emploi_cleaned;salaire_mensuel_cleaned;taux_endettement_cleaned;duree_pret_cleaned;anciennete_bni_cleaned;mensualite_cleaned;code_DTX_cleaned_UNIQUEVAL;conventionne_cleaned_UNIQUEVAL;statut_marital_cleaned_UNIQUEVAL;categorie_employeur_cleaned_UNIQUEVAL;nature_CAP_cleaned_UNIQUEVAL;type_contrat_cleaned;salaire_vivable;argent_journalier;age_end;year;label
7156;1965;2.0;46.0;62.0;225300.0;32.97;48;2.0;7428141.0;0;NON;MARIE;CONNUE;CAP;CDI;-7202841.0;-240094.7;50.0;2012;1
17753;4234;2.0;38.0;3.0;228463.8;32.97;21;6.0;7532451.486;0;NON;CELIBATAIRE;FONCTIONNAIRE;CAP;CDI;-7303987.686000002;-243466.2562;39.75;2011;1
1169;2832;1.0;44.0;159.0;191139.22;32.85;24;3.0;6278923.377;0;OUI;MARIE;CONNUE;CAP;CDI;-6087784.1570000015;-202926.13856666672;46.0;2011;1
10625;2616;49.0;43.0;68.0;145000.0;32.95;24;49.0;4777750.0;0;NON;MARIE;CONNUE;CAP_Rechargeable;CDI;-4632750.0;-154425.0;45.0;2012;1
2703;6632;20.0;29.0;30.0;177000.0;32.96;24;20.0;5833920.0;0;NON;CELIBATAIRE;CONNUE;CAP_Rechargeable;CDI;-5656920.0;-188564.0;31.0;2012;1
3992;2889;1.0;42.0;178.0;301316.86;32.79;48;1.0;9880179.8394;0;NON;MARIE;FAVORISER;CAP;CDI;-9578862.9794;-319295.43264666665;46.0;2012;1
114;2953;67.0;41.0;79.0;357479.2;23.46;48;75.0;8386462.0320000015;0;OUI;DIVORCE;FONCTIONNAIRE;CAP;CDI;-8028982.832;-267632.76106666675;45.0;2012;1
5909;3916;1.0;39.0;201.0;145304.0;32.79;36;2.0;4764518.16;0;OUI;MARIE;FAVORISER;CAP;CDI;-4619214.16;-153973.80533333335;42.0;2011;1
11654;5979;31.0;31.0;65.0;111759.2;32.96;25;33.0;3683583.232;0;NON;CONCUBINE;RENSEIGNER;CAP;CDI;-3571824.0319999997;-119060.80106666664;33.083333333333336;2012;1
2866;6950;25.0;28.0;85.0;134782.0;31.82;36;25.0;4288763.24;0;NON;MARIE;CONNUE;CAP_Rechargeable;CDI;-4153981.24;-138466.04133333333;31.0;2012;1
3728;7094;18.0;27.0;53.0;291314.32;29.62;36;40.0;8628730.158400001;0;OUI;MARIE;CONNUE;CAP_Rechargeable;CDI;-8337415.838400003;-277913.86128;30.0;2012;1
