;Unnamed: 0;nb_salaires_cleaned;age_cleaned;anciennete_emploi_cleaned;salaire_mensuel_cleaned;taux_endettement_cleaned;duree_pret_cleaned;anciennete_bni_cleaned;mensualite_cleaned;code_DTX_cleaned_UNIQUEVAL;conventionne_cleaned_UNIQUEVAL;statut_marital_cleaned_UNIQUEVAL;categorie_employeur_cleaned_UNIQUEVAL;nature_CAP_cleaned_UNIQUEVAL;type_contrat_cleaned;salaire_vivable;argent_journalier;age_end;year;nb_salaires_cleaned_bins;age_cleaned_bins;anciennete_emploi_cleaned_bins;taux_endettement_cleaned_bins;duree_pret_cleaned_bins;anciennete_bni_cleaned_bins;salaire_mensuel_cleaned_bins;avg_salaire_age;avg_cat_empl_sal;avg_duree_endettement;avg_salaire_anc_emploi;label
1792;2468;54.0;33.0;130.0;215000.0;32.75;24;70.0;70572.0;0;0;0;0;0;0;144428.0;4814.266666666666;35.0;2014;1;0;17;0;0;29;11;348407.7354765545;354195.0145666767;31.611336366096918;366521.2754749999;0
6535;5131;89.0;32.0;157.0;373900.0;32.95;24;101.0;123501.0;0;0;1;0;1;0;250399.0;8346.633333333333;34.0;2013;3;0;49;0;0;26;7;348407.7354765545;354195.0145666767;31.611336366096918;364153.9046530612;0
6824;105;44.0;45.0;137.0;110000.0;33.0;36;45.0;36255.0;0;0;0;1;0;0;73745.0;2458.1666666666665;48.0;2014;2;1;24;0;2;9;1;437856.5656846549;313671.6793187913;31.286291191230358;335714.0872005772;0
8703;4969;232.0;44.0;232.0;462000.0;32.83;56;232.0;150726.0;0;0;0;2;1;0;311274.0;10375.8;48.66666666666666;2014;4;1;41;0;3;63;4;437856.5656846549;636429.0148717947;31.643901641195196;478433.9594827586;0
3588;3687;23.0;28.0;70.0;336700.0;28.229568261432;48;29.0;96009.046804286;0;1;0;1;1;0;240690.95319571398;8023.031773190466;32.0;2017;0;0;3;2;1;3;11;348407.7354765545;313671.6793187913;31.285981228209238;369368.16014648456;0
2422;1603;45.0;33.0;116.0;156000.0;32.94;36;45.0;51336.0;0;0;0;1;1;0;104664.0;3488.8;36.0;2013;2;0;26;0;2;9;1;348407.7354765545;313671.6793187913;31.286291191230358;407503.0181769909;0
7749;1781;43.0;37.0;214.0;160000.0;32.69;24;43.0;52420.0;0;0;0;1;1;0;107580.0;3586.0;39.0;2013;2;0;62;0;0;9;1;348407.7354765545;313671.6793187913;31.611336366096918;460490.76114035095;0
4120;1991;16.0;26.0;43.0;199235.8;32.86;48;17.0;65183.0;0;0;2;3;0;0;134052.8;4468.426666666666;30.0;2014;0;0;7;0;1;10;11;348407.7354765545;462765.74141768547;31.285981228209238;344747.6512061669;0
18407;4473;45.0;32.0;69.0;381000.0;32.15;60;46.0;121590.0;0;0;0;3;0;0;259410.0;8647.0;37.0;2014;2;0;3;0;3;9;7;348407.7354765545;462765.74141768547;30.86250662982543;369368.16014648456;0
7020;6568;66.0;40.0;173.0;1959000.0;17.29;36;67.0;338359.0;0;0;0;2;0;0;1620641.0;54021.36666666667;43.0;2014;1;0;14;1;2;29;11;348407.7354765545;636429.0148717947;31.286291191230358;386436.1494382022;0
14800;3844;24.0;44.0;31.0;323200.0;31.14;24;28.0;100862.0;0;1;2;1;0;0;222338.0;7411.266666666666;46.0;2014;0;1;4;0;0;3;7;437856.5656846549;313671.6793187913;31.611336366096918;367332.77090690075;0
17310;814;43.0;45.0;185.0;134000.0;32.95;36;43.0;44106.0;0;0;0;1;1;0;89894.0;2996.4666666666667;48.0;2013;2;1;59;0;2;9;1;437856.5656846549;313671.6793187913;31.286291191230358;335054.05065637076;0
2790;2872;1.0;51.0;304.0;270000.0;32.774151616643;48;8.0;89384.049863571;0;0;0;1;0;0;180615.950136429;6020.531671214299;55.0;2017;0;1;44;0;1;11;11;437856.5656846549;313671.6793187913;31.285981228209238;476005.1097674418;0
6708;6381;61.0;54.0;388.0;640000.0;28.27;36;61.0;180762.0;0;0;0;1;1;0;459238.0;15307.933333333332;57.0;2013;1;1;36;2;2;2;0;437856.5656846549;313671.6793187913;31.286291191230358;487450.20576271205;0
1010;6825;102.0;40.0;111.0;950000.0;32.97;24;103.0;313958.0;0;1;0;2;1;0;636042.0;21201.4;42.0;2013;7;0;19;0;0;18;3;348407.7354765545;636429.0148717947;31.611336366096918;359955.8313592235;0
5642;1760;14.0;53.0;177.0;186765.0;32.98;36;14.0;61525.0;0;1;0;1;0;0;125240.0;4174.666666666667;56.0;2014;0;1;33;0;2;10;11;437856.5656846549;313671.6793187913;31.286291191230358;370955.7745021643;0
125;2505;65.0;40.0;121.0;217235.0;32.82;36;76.0;71220.0;0;0;0;1;1;0;146015.0;4867.166666666667;43.0;2014;1;0;51;0;2;7;11;348407.7354765545;313671.6793187913;31.286291191230358;354672.1637394959;0
10372;4578;72.0;47.0;174.0;328749.0;31.51;24;74.0;103829.0;0;1;0;2;0;0;224920.0;7497.333333333332;49.0;2013;1;1;14;0;0;7;7;437856.5656846549;636429.0148717947;31.611336366096918;386436.1494382022;0
3863;1204;20.0;34.0;39.0;164600.0;32.97;24;20.0;54386.0;0;1;0;1;0;0;110214.0;3673.8;36.0;2014;0;0;18;0;0;0;1;348407.7354765545;313671.6793187913;31.611336366096918;361661.5960337501;0
5340;1913;27.0;29.0;45.0;163500.0;32.3;24;27.0;52929.0;0;0;0;1;1;0;110571.0;3685.7;31.0;2013;2;0;7;0;0;3;11;348407.7354765545;313671.6793187913;31.611336366096918;344747.6512061669;0
16616;4668;12.0;36.0;109.0;404800.0;32.92;24;12.0;133583.0;0;0;2;0;0;0;271217.0;9040.566666666668;38.0;2014;0;0;19;0;0;11;4;348407.7354765545;354195.0145666767;31.611336366096918;359955.8313592235;0
14176;6769;32.0;40.0;57.0;895000.0;32.79;24;32.0;294181.0;0;1;0;2;0;0;600819.0;20027.3;42.0;2013;2;0;6;0;0;13;8;348407.7354765545;636429.0148717947;31.611336366096918;354968.68031732173;0
2981;6784;90.0;47.0;341.0;911160.6;32.87;60;309.0;132533.0;0;0;2;3;1;0;778627.6;25954.25333333333;52.0;2013;3;1;57;0;3;14;3;437856.5656846549;462765.74141768547;30.86250662982543;492212.0405555554;0
