"taux_endettement_cleaned";"anciennete_emploi_cleaned";"age_cleaned";"anciennete_bni_cleaned";"duree_pret_cleaned";"year";"salaire_mensuel_cleaned";"nb_salaires_cleaned";"statut_marita_cleaned_UNIQUEVAL";"nature_CAP_cleaned_UNIQUEVAL";"type_contrat_cleaned";"mensualite_cleaned";"code_DTX_cleaned_UNIQUEVAL";"categorie_employeur_cleaned_UNIQUEVAL";"scorePred"
31,82;53;54;61;48;2012;270500;53;"marie";"cap_rechargeable";"cdi";86073,1;0;"entreprise_privée_connue";94,12
32,92;221;47;51;60;2013;576939;50;"veuf(ve)";"cap_2";"cdi";189928,3188;0;"entreprise_privée_connue";96,82
32,84;122;38;38;24;2013;168430;25;"concubinage";"cap_rechargeable";"cdi";55312,412;0;"entreprise_privée_à_renseigner";93,77
32,86;204;42;7;24;2011;235000;7;"marie";"cap";"cdi";77221;0;"entreprise_privée_à_renseigner";96,71
24,53;108;33;105;17;2013;164500;104;"marie";"cap";"cdi";40351,85;0;"entreprise_privée_à_renseigner";77,27
32,85;98,66689373297;50;32,648733315173;24;2011;150440;18,2992372650504;"marie";"cap";"cdi";49419,54;0;"entreprise_privée_à_renseigner";92,39
32,96;33;30;27;36;2014;165000;27;"celibataire";"cap_rechargeable";"cdi";54384;0;"entreprise_privée_connue";83,36
32,926105391167;107;35;55;48;2017;185000;49;"marie";"cap_rechargeable";"cdi";60913,294973659;0;"entreprise_privée_connue";90,62
32,61;138;55;53;24;2014;485765;53;"marie";"cap_rechargeable";"cdi";158407,9665;0;"entreprise_privée_à_renseigner";96,47
32,906463546533;252;46;148;60;2017;647000;0;"marie";"cap_rechargeable";"cdi";212904,819146069;0;"fonctionnaire";98,61
32,73;125;38;38;36;2011;491576;25;"marie";"cap_rechargeable";"cdi";160892,8248;0;"entreprise_privée_à_renseigner";95,41
20,95;42;51;122;12;2014;3408737,16;121;"marie";"cap";"cdi";714130,43502;0;"entreprise_privée_à_favoriser";97,33
32,65;22;53;22;48;2011;301440;14;"concubinage";"cap";"cdi";98420,16;0;"entreprise_privée_connue";91,75
32,899481501041;14;33;13;36;2017;220000;7;"concubinage";"cap";"cdi";72378,8593022902;0;"entreprise_privée_à_favoriser";88,55
32,94;31;45;28;24;2013;823600;24;"marie";"cap";"cdi";271293,84;0;"entreprise_privée_connue";93
32,811450221424;23;23;10;36;2017;295000;2;"marie";"cap";"cdi";96793,7781532008;0;"entreprise_privée_connue";89,8
32,98;2;42;7;24;2011;121868,7;6;"marie";"cap";"cdi";40192,29726;1;"entreprise_privée_connue";52,2
32,25;53;38;39;48;2014;2e+05;38;"marie";"cap_2";"cdi";64500;0;"entreprise_privée_connue";89,56
32,98;31;45;21;24;2013;183000;21;"marie";"cap_rechargeable";"cdi";60353,4;0;"entreprise_privée_à_renseigner";90,81
32,01;44;35;22;18;2012;2e+05;22;"marie";"cap_rechargeable";"cdi";64020;0;"entreprise_privée_à_renseigner";89,9
32,69;10;35;3;24;2012;292306;3;"celibataire";"cap";"cdi";95554,8314;0;"entreprise_privée_connue";78,04
31,71;29;27;3;24;2011;160200;3;"celibataire";"cap";"cdi";50799,42;0;"entreprise_privée_à_renseigner";85,88
19,584603719485;141;42;127;19;2017;728777,2;28;"marie";"cap_2";"cdi";142728,126617959;0;"fonctionnaire";99,55
32,97;99;27;17;24;2014;149490;16;"marie";"cap";"cdi";49286,853;0;"entreprise_privée_connue";91,77
31,65;62;32;59;24;2014;935040,6;57;"marie";"cap";"cdi";295940,3499;0;"fonctionnaire";96,94
32,94;27;30;27;24;2013;134781;26;"marie";"cap";"cdi";44396,8614;0;"entreprise_privée_connue";80,45
32,848472440455;85;35;52;48;2017;215000;41;"marie";"cap_rechargeable";"cdi";70624,2157469782;0;"entreprise_privée_connue";89,43
32,84;34;33;26;12;2013;1067000;26;"celibataire";"cap";"cdi";350402,8;0;"entreprise_privée_à_renseigner";96,03
32,841808155501;246;53;99;24;2017;238822,11;94;"veuf(ve)";"cap_rechargeable";"cdi";78433,4991991196;0;"entreprise_privée_à_favoriser";94,03
32,93;214;56;99;50;2013;327000;78;"veuf(ve)";"cap_2";"cdi";107681,1;0;"fonctionnaire";96,88
32,13;72;47;2;48;2011;220526,4;1;"marie";"cap";"cdi";70855,13232;0;"fonctionnaire";91,5
32,85;105;45;84;60;2014;343014,6;65;"celibataire";"cap_rechargeable";"cdi";112680,2961;0;"fonctionnaire";98,06
32,84;113;32;77;24;2014;203649;65;"marie";"cap_rechargeable";"cdi";66878,3316;0;"entreprise_privée_à_renseigner";94,01
32,776591039147;212;45;24;48;2017;124300;18;"celibataire";"cap_rechargeable";"cdi";40741,3026616597;0;"entreprise_privée_connue";89,72
23,3;264;59;227;12;2014;1878106,54;77;"marie";"cap";"cdi";437598,82382;0;"entreprise_privée_à_favoriser";99,49
32,87;15;29;2;24;2012;134619;2;"marie";"cap";"cdi";44249,2653;0;"entreprise_privée_connue";69,42
32,861627916403;19;45;19;60;2017;642000;11;"marie";"cap";"cdi";210971,651223307;0;"entreprise_privée_à_favoriser";93,25
27,14;417;55;83;48;2014;524386,4;66;"concubinage";"cap_rechargeable";"cdi";142318,46896;0;"fonctionnaire";98,29
32,65;29;25;27;30;2014;325000;26;"marie";"cap";"cdi";106112,5;0;"entreprise_privée_connue";92,4
32,43;87;39;40;48;2014;194383,94;40;"marie";"cap_rechargeable";"cdi";63038,711742;0;"entreprise_privée_à_favoriser";92,27
32,85;73;26;27;36;2013;150000;27;"marie";"cap";"cdi";49275;0;"entreprise_privée_connue";88,97
30,32;208;48;42;38;2014;557000;39;"marie";"cap_rechargeable";"cdi";168882,4;0;"fonctionnaire";98,15
28,65;146;48;114;36;2013;896896,8;78;"marie";"cap_rechargeable";"cdi";256960,9332;0;"fonctionnaire";99,22
32,54;13;33;8;24;2011;94500;6;"concubinage";"cap";"cdi";30750,3;1;"entreprise_privée_à_renseigner";57,02
32,95;370;62;31;12;2011;459477,8;25;"marie";"cap_rechargeable";"cdi";151397,9351;0;"fonctionnaire";96,79
32,98;75;31;25;24;2012;170000;23;"concubinage";"cap_rechargeable";"cdi";56066;0;"entreprise_privée_à_renseigner";91,81
13,95;145;35;89;60;2013;465315,2;86;"marie";"cap";"cdi";64911,4704;0;"fonctionnaire";97,9
30,768969296238;50;43;29;36;2017;159000;21;"celibataire";"cap_rechargeable";"cdi";48922,6611810184;0;"entreprise_privée_connue";83,88
20,56;91;32;118;60;2014;608630,59;78;"celibataire";"cap_rechargeable";"cdi";125134,449304;0;"entreprise_privée_à_favoriser";98,87
32,533426552859;22;46;20;24;2017;139122;13;"celibataire";"cap";"cdi";45261,1536888685;0;"entreprise_privée_connue";83,6
32,71;85;34;34;24;2012;109145;33;"marie";"cap";"cdi";35701,3295;1;"entreprise_privée_à_renseigner";91,1
25,73;72;34;72;36;2013;287253;72;"marie";"cap_rechargeable";"cdi";73910,1969;1;"entreprise_privée_connue";95,03
27,77;31;46;68;12;2013;326500;65;"marie";"cap";"cdi";90669,05;0;"entreprise_privée_connue";94,29
20,86;288;56;33;24;2012;472930,4;32;"veuf(ve)";"cap_rechargeable";"cdi";98653,28144;0;"fonctionnaire";96,13
27,904734585317;112;36;8;60;2017;410000;1;"marie";"cap";"cdi";114409,4117998;0;"fonctionnaire";96,93
32,79;47;29;6;24;2012;101233;6;"marie";"cap";"cdi";33194,3007;0;"entreprise_privée_connue";75,34
32,57;34;33;23;36;2013;250000;22;"marie";"cap";"cdi";81425;0;"entreprise_privée_connue";89,6
